x,y
96,39
95,40
95,41
94,41
94,42
94,43
95,42
96,42
95,43
96,43
95,44
96,45
97,44
99,44
100,44
99,43
99,42
98,42
97,42
97,41
98,41
100,40
101,40
101,41
101,42
102,41
103,42
104,42
102,43
102,44
103,43
104,43
104,44
105,43
107,44
106,45
105,45
104,46
103,46
103,45
102,45
101,45
102,46
101,46
101,47
100,46
97,46
96,47
97,48
95,48
96,49
98,48
98,50
99,49
100,48
101,50
103,50
103,49
104,49
104,50
105,50
106,50
106,49
105,48
105,47
106,47
106,46
107,46
108,46
108,47
110,46
110,48
108,49
109,50
109,52
107,52
106,52
106,53
105,54
104,54
102,52
100,53
100,55
100,57
99,56
98,56
99,55
99,54
97,54
97,53
97,51
96,51
96,52
95,53
96,53
96,54
96,55
97,56
94,55
95,57
96,57
97,58
97,57
98,57
99,58
100,60
99,60
98,59
97,60
96,60
97,61
98,61
98,62
97,62
97,63
96,63
95,64
92,61
92,60
91,60
92,59
90,57
89,57
88,57
89,58
89,59
88,59
87,59
87,58
86,59
84,58
85,60
86,60
87,60
85,64
84,64
83,64
81,64
80,64
79,63
80,62
78,62
78,64
80,66
80,69
86,69
86,68
85,67
87,65
88,65
90,65
88,67
89,67
88,69
90,73
91,73
90,75
88,77
89,77
90,77
90,78
89,78
88,78
89,79
89,80
90,80
91,80
91,82
89,81
88,81
88,79
86,80
84,80
85,81
86,81
86,82
86,83
84,83
83,84
81,84
82,83
82,81
83,80
82,80
78,75
77,76
78,76
79,76
83,76
82,73
81,72
83,73
84,72
88,76
89,75
91,75
91,76
91,77
92,77
93,77
94,77
92,75
93,75
94,74
93,73
92,72
93,72
95,70
96,70
96,71
97,71
97,72
97,73
96,73
96,74
97,74
101,76
101,73
101,72
99,72
98,72
98,71
99,70
98,70
98,69
97,67
97,66
98,66
99,66
98,68
99,68
100,68
101,68
103,69
102,68
101,67
101,66
100,67
100,66
100,65
99,65
100,63
101,64
101,65
102,65
102,66
103,65
103,66
104,66
106,66
106,67
107,67
108,67
108,66
109,66
110,65
110,64
109,65
107,63
104,63
103,63
103,62
102,62
102,61
104,60
105,61
105,60
105,59
106,59
106,60
107,61
108,60
107,59
108,59
106,58
106,56
107,56
108,57
108,58
109,58
110,61
110,60
110,58
110,57
109,57
107,55
107,54
108,54
109,54
110,54
110,55
110,56
111,55
112,53
112,54
113,55
112,56
112,57
114,57
115,58
114,59
114,61
112,61
113,63
115,62
116,62
115,61
116,61
117,61
118,62
120,61
119,59
119,57
119,56
118,59
117,59
117,57
117,56
115,57
115,56
116,56
115,55
117,55
117,53
117,51
115,50
116,49
116,48
115,48
114,49
112,51
112,50
112,49
112,48
113,46
116,45
117,44
115,43
115,44
113,45
111,45
111,44
110,43
111,43
112,43
112,42
111,42
111,41
111,40
110,41
110,42
109,42
108,43
107,42
108,42
109,41
110,40
109,39
110,39
110,38
109,38
109,37
107,37
106,37
106,38
105,38
106,39
108,40
107,40
106,40
106,41
106,42
105,42
105,41
105,40
103,40
104,39
104,38
102,38
101,36
102,36
103,37
104,37
106,36
108,35
109,35
109,36
110,37
111,36
112,36
112,37
111,37
112,38
113,37
114,37
113,38
114,38
113,40
114,40
114,41
115,41
115,42
116,41
117,41
117,40
117,39
116,37
117,37
118,38
120,38
120,39
121,39
122,39
122,40
121,40
122,41
121,41
120,42
120,41
118,40
118,43
118,44
119,43
120,43
119,44
120,44
120,45
121,45
121,46
121,47
119,45
118,45
118,46
117,46
116,46
116,47
117,47
117,48
118,48
118,47
120,47
119,48
121,49
120,50
119,49
117,50
118,50
119,51
120,52
119,52
119,53
120,53
121,53
122,54
123,55
122,53
123,53
124,52
123,52
122,52
121,52
121,51
122,50
122,51
123,51
123,50
125,51
126,51
126,50
125,50
125,49
124,49
124,48
123,48
122,49
122,48
123,47
125,47
126,47
126,46
125,46
125,45
124,45
124,44
123,44
122,44
122,43
123,42
125,42
125,41
126,40
125,43
126,43
127,43
128,43
130,43
131,43
131,44
131,45
132,44
134,45
133,46
132,48
131,47
131,48
129,45
128,46
127,45
127,47
128,47
129,48
129,49
128,49
129,50
131,51
131,52
130,52
129,52
128,52
127,50
127,51
126,52
126,53
125,54
127,53
128,53
128,54
129,54
131,53
132,53
132,55
132,54
133,54
134,55
134,54
133,53
134,53
134,52
133,52
134,51
134,50
132,51
132,50
131,49
132,49
133,49
134,49
134,48
135,46
137,47
138,48
137,48
138,49
137,50
135,50
136,52
135,52
135,53
135,54
136,55
136,54
138,53
139,51
140,50
140,51
141,51
142,50
142,52
139,54
139,56
140,56
140,57
141,57
141,55
142,56
144,56
143,57
143,58
144,59
144,58
145,56
145,57
145,58
146,58
146,60
148,60
149,60
149,62
148,61
147,61
147,62
147,63
145,62
144,62
144,63
144,64
142,63
142,62
142,60
141,60
140,61
139,61
139,60
138,60
137,60
137,58
138,57
137,56
136,56
136,57
135,56
134,57
135,58
135,59
134,58
134,59
134,60
132,60
133,61
133,62
132,62
131,61
131,58
130,57
129,57
129,58
128,58
128,56
127,55
127,56
127,57
126,57
126,56
125,56
124,56
124,58
125,58
126,58
125,59
126,60
127,59
129,60
129,61
129,62
130,62
129,64
128,64
128,63
127,64
126,63
126,64
125,65
124,64
127,62
126,62
125,61
124,61
122,58
122,59
122,61
122,62
123,63
123,64
123,65
121,66
121,67
120,65
119,65
119,66
118,67
119,67
117,70
118,70
119,69
120,69
120,68
121,69
121,70
123,68
123,69
124,69
126,74
127,73
126,68
127,66
128,67
129,66
131,65
132,65
132,68
133,67
134,69
135,68
135,67
135,66
137,65
136,65
133,64
134,63
135,63
135,61
137,61
137,62
138,62
140,63
141,65
140,65
139,65
138,67
138,71
139,71
141,72
143,71
142,72
141,73
139,73
138,73
137,74
137,75
135,74
136,72
135,72
134,72
132,73
131,72
130,70
130,72
128,74
129,74
130,74
130,75
130,76
131,76
133,74
133,76
134,76
135,76
136,76
136,77
137,77
138,77
138,76
139,77
140,77
136,83
135,84
137,84
138,85
139,86
139,87
138,86
138,87
138,88
136,88
136,89
135,93
134,93
133,93
133,92
130,91
130,93
132,97
134,95
134,96
135,95
135,94
136,94
137,96
137,94
138,92
137,90
138,91
139,89
140,88
140,91
139,91
139,92
140,93
141,92
141,93
139,94
140,95
139,96
141,95
142,95
142,94
143,94
144,93
145,94
146,92
144,92
143,92
144,91
142,87
141,86
143,86
145,87
146,87
146,88
146,89
147,89
147,88
148,87
147,87
146,86
147,85
146,85
145,85
145,84
144,84
144,83
142,82
143,82
142,81
145,78
146,78
147,79
147,78
144,72
145,72
148,68
149,68
148,69
150,67
150,68
150,70
151,70
150,75
151,75
152,75
152,76
153,77
153,76
153,75
155,74
156,74
159,72
158,71
157,71
156,71
153,70
152,69
154,66
155,65
156,67
157,67
157,66
159,67
159,66
158,66
157,65
158,64
157,64
158,62
158,60
157,60
156,61
157,63
156,63
155,64
153,61
153,59
152,55
151,56
150,56
149,56
149,57
148,57
147,57
147,56
146,56
146,55
145,53
144,52
144,51
145,52
145,51
146,52
147,55
148,56
149,55
150,55
150,53
149,54
147,53
147,52
148,52
149,52
149,51
148,50
151,51
151,50
152,50
152,51
153,51
154,51
154,50
155,51
156,50
156,51
156,52
156,53
156,54
155,53
155,54
154,54
154,55
154,56
156,55
155,56
156,57
158,56
159,55
158,55
158,54
159,53
158,53
157,53
157,52
157,51
158,51
158,50
159,50
159,51
160,50
161,52
161,51
162,51
163,51
164,51
162,52
162,53
163,54
161,54
160,55
161,56
160,56
159,57
158,58
159,58
160,58
161,59
161,57
162,56
163,56
163,57
163,58
165,56
166,56
166,55
167,53
167,55
167,56
168,56
168,57
168,58
167,57
165,57
165,58
164,59
165,60
165,61
164,60
163,60
164,61
161,62
159,63
160,66
161,66
162,64
163,64
163,65
162,66
161,67
160,68
161,68
161,69
160,69
159,70
160,71
161,72
161,71
162,71
163,71
164,70
163,69
164,69
165,69
165,68
164,68
165,67
166,67
165,66
164,66
164,64
166,63
167,62
167,63
168,64
169,63
170,63
169,62
170,61
169,61
168,62
168,61
168,60
166,60
166,59
167,59
168,59
169,60
170,60
170,59
171,59
171,58
171,57
171,56
170,56
170,55
169,55
169,54
170,54
171,55
172,56
172,57
173,57
173,58
174,58
174,59
175,59
175,60
173,59
172,62
173,62
174,62
175,63
176,61
176,62
177,63
177,65
177,66
176,65
175,65
174,66
173,67
171,65
170,66
171,67
169,68
169,69
170,68
171,69
171,70
171,71
172,71
172,70
172,69
172,68
173,68
174,68
173,69
174,69
175,69
175,68
177,68
178,69
178,72
177,72
176,71
175,70
174,71
173,71
173,72
175,73
176,74
178,75
177,76
178,78
177,77
176,77
176,76
175,75
174,74
173,75
173,74
173,73
172,73
172,72
171,72
171,74
170,73
167,74
166,75
165,76
164,77
164,76
165,75
164,75
163,73
164,73
165,73
166,73
166,72
167,71
167,69
168,70
170,71
171,75
172,76
170,77
171,76
171,77
171,78
172,78
174,77
175,77
173,78
174,79
172,80
171,80
171,79
170,78
170,79
170,81
171,82
170,83
169,85
169,84
168,82
168,80
166,79
165,79
164,81
164,82
165,83
164,84
163,84
162,84
163,83
162,83
162,82
161,82
161,81
163,81
164,80
163,79
162,79
161,79
160,79
161,78
163,78
162,77
162,76
161,74
160,74
160,75
160,77
158,76
155,77
155,79
157,80
157,81
156,81
155,83
156,83
156,84
157,84
158,84
158,83
158,82
158,81
158,80
159,79
159,80
160,82
161,83
161,84
161,85
161,86
159,87
158,88
159,88
165,86
166,86
167,85
168,87
166,87
166,88
164,88
164,89
162,89
162,90
163,91
162,92
160,91
160,93
161,94
161,95
161,96
159,95
159,94
159,93
158,93
158,92
157,89
156,89
156,90
155,90
154,90
155,89
154,89
154,88
153,87
153,86
154,87
155,87
156,87
155,86
156,85
155,85
153,84
154,83
154,84
154,85
153,85
152,85
153,82
153,81
152,81
151,80
151,82
150,83
150,81
149,81
147,83
146,83
148,84
149,84
150,85
150,86
152,86
152,87
151,87
151,89
150,88
149,88
149,89
150,90
151,91
152,92
154,92
153,94
154,95
153,96
152,96
151,97
151,95
151,94
150,92
150,93
148,91
148,93
149,94
148,94
147,96
148,97
147,97
146,97
146,96
145,96
144,95
144,97
143,98
142,97
141,98
139,100
138,99
137,99
138,97
136,97
135,97
135,98
135,101
138,102
139,102
139,101
139,103
141,103
141,100
142,100
143,99
144,99
144,100
143,101
144,101
146,101
145,100
145,99
145,98
146,98
146,99
147,98
148,98
149,99
150,103
151,103
151,104
150,104
151,105
150,105
149,106
148,106
148,107
149,107
149,108
148,108
148,109
146,109
148,110
149,110
152,106
153,106
154,105
156,105
157,105
156,104
156,103
156,102
155,103
153,104
153,103
152,103
152,102
153,101
154,102
154,100
155,101
155,100
155,99
156,97
158,96
158,97
159,97
159,99
157,100
159,101
161,98
162,98
165,101
166,101
166,99
165,98
166,98
167,97
168,97
168,96
167,96
166,95
165,97
164,97
164,96
164,95
163,95
162,95
163,93
164,93
165,91
167,93
168,94
168,93
167,92
167,91
166,91
165,90
166,90
167,90
167,89
167,88
168,90
170,92
171,91
170,90
170,89
170,88
171,88
171,87
170,87
171,85
171,86
172,87
172,86
173,85
174,84
173,82
173,81
174,80
175,81
175,80
175,79
177,80
175,82
176,83
174,85
174,88
175,90
176,91
176,92
173,91
172,92
174,93
173,93
173,94
173,95
173,96
172,96
171,94
172,97
171,97
169,97
169,98
170,98
171,98
171,99
172,100
172,101
171,101
171,102
170,102
169,100
168,101
167,100
167,101
167,102
168,103
168,104
169,103
171,104
172,103
172,105
171,105
171,106
169,106
168,106
170,107
169,108
169,110
169,111
170,111
169,114
169,115
170,114
170,113
171,112
172,112
172,111
171,111
171,110
173,109
172,108
171,108
173,107
174,107
173,106
174,106
174,105
174,104
175,106
176,106
177,107
176,108
175,109
177,108
178,107
177,106
177,105
176,104
177,104
