x,y
190,109
190,112
189,113
189,112
189,111
187,106
187,107
186,106
185,107
184,107
183,107
185,109
185,110
184,112
183,112
184,114
185,115
187,115
185,116
183,114
181,113
180,114
181,115
180,116
179,116
181,118
182,119
182,120
182,121
183,125
184,124
184,121
184,120
186,120
185,118
187,118
187,123
185,122
185,123
185,124
185,125
186,126
184,127
186,128
187,127
187,129
188,129
189,130
190,125
190,123
190,122
190,121
189,120
190,118
191,118
190,116
191,116
191,115
191,114
193,114
195,115
196,116
198,115
196,114
195,113
194,112
193,110
193,109
194,109
194,108
195,108
197,105
198,106
197,108
198,109
199,109
198,110
197,111
198,113
198,112
199,110
200,112
201,113
201,111
201,109
201,108
203,109
204,108
202,105
200,104
201,104
202,103
205,105
205,106
207,107
208,107
208,105
207,103
206,102
207,101
206,101
206,99
205,98
204,99
201,102
201,101
200,99
199,98
200,98
201,98
201,97
201,93
202,93
202,90
203,90
203,91
205,90
207,91
205,93
205,94
204,95
205,95
205,97
206,97
207,98
208,98
209,98
212,98
213,98
210,97
209,96
210,95
211,95
210,93
212,93
216,92
216,94
217,94
217,95
217,96
218,96
217,97
215,99
216,99
217,99
218,100
219,101
220,102
218,102
217,102
216,103
214,103
213,101
213,100
212,100
212,103
210,101
209,102
210,102
211,103
212,104
213,104
214,106
215,107
217,106
217,105
218,105
219,104
219,105
221,107
218,107
217,108
216,109
214,108
212,106
212,105
209,107
210,107
211,108
211,109
212,110
213,111
211,111
211,113
210,112
209,112
207,109
207,110
207,112
208,114
207,113
206,112
204,113
204,114
204,115
205,116
204,117
202,117
201,117
203,119
204,118
205,117
206,118
207,119
204,119
204,122
204,123
203,123
202,122
201,121
200,121
200,120
198,119
196,120
195,119
194,119
194,120
193,119
192,119
192,120
194,122
197,121
197,122
199,122
199,124
195,125
194,125
195,126
196,126
197,126
196,127
197,128
199,128
200,126
202,126
204,125
204,124
205,124
205,125
207,124
208,124
207,125
206,126
206,127
205,127
204,127
205,128
205,129
205,131
206,132
207,130
209,129
209,132
208,133
207,133
207,134
205,135
205,134
205,133
203,132
203,134
202,136
204,137
203,138
205,139
205,138
207,137
210,136
209,134
210,134
211,134
211,135
213,134
214,135
215,137
216,137
216,138
217,139
218,141
218,142
219,140
220,140
220,139
219,138
219,137
219,135
219,134
220,135
222,133
219,132
218,130
216,132
214,131
211,132
212,131
212,130
212,128
210,126
211,126
212,124
213,123
214,124
214,126
214,128
216,129
218,129
218,126
220,127
221,128
222,130
224,125
222,124
223,123
223,122
227,120
228,120
227,119
226,120
224,120
222,118
221,118
220,118
221,119
222,121
220,125
218,124
219,123
218,122
218,120
217,120
217,118
218,116
214,119
213,119
212,120
211,119
211,117
210,117
209,117
210,115
212,115
212,117
213,117
214,116
216,115
216,113
216,112
219,114
221,112
223,113
222,115
223,116
224,115
224,114
225,113
225,115
228,118
230,118
230,116
229,115
230,112
228,111
231,110
230,109
229,110
228,109
226,110
227,108
224,106
226,107
227,106
228,107
229,108
230,108
229,105
230,105
232,104
233,104
232,103
230,103
227,103
225,103
226,102
228,102
228,101
231,101
230,100
230,99
229,100
227,100
227,99
226,98
223,102
223,100
223,98
224,97
224,96
222,96
221,96
221,97
219,96
219,95
219,91
218,90
219,90
