x,y
48,87
48,88
49,88
50,89
49,89
48,90
47,90
48,91
47,93
48,92
51,91
53,92
53,90
51,88
51,87
53,88
54,87
54,89
56,90
58,90
59,91
56,92
57,95
57,97
56,96
54,95
54,96
52,96
50,95
49,94
48,98
50,98
52,99
54,98
55,98
56,100
55,100
53,100
52,102
52,100
51,100
50,101
48,101
46,100
45,101
45,102
46,102
49,102
50,102
49,105
51,104
52,104
55,104
55,106
55,107
53,109
50,108
50,109
52,110
53,111
53,112
55,112
56,111
59,111
60,110
62,111
63,111
65,111
66,111
67,110
68,110
68,111
70,112
71,112
71,110
72,111
72,112
74,110
74,112
75,112
77,111
79,111
80,111
82,109
83,110
84,110
85,109
88,110
88,109
89,108
92,109
93,108
93,107
95,107
95,108
95,109
97,108
98,108
99,107
101,107
92,127
92,128
91,127
91,128
91,129
89,128
88,130
87,129
76,130
74,129
74,131
75,131
76,131
76,132
75,132
75,133
74,134
74,135
75,136
76,134
76,133
78,133
79,134
79,135
80,136
78,137
81,139
83,142
84,141
85,142
85,143
85,144
85,145
86,144
87,143
88,142
88,140
89,141
90,141
92,141
91,140
90,139
90,138
90,136
89,135
89,134
90,133
91,134
92,135
93,137
94,136
92,139
94,139
94,140
95,141
96,140
96,139
96,137
98,137
100,138
100,137
98,134
97,135
96,135
96,134
97,132
97,131
95,133
93,133
92,132
92,131
94,130
95,127
96,128
97,129
98,127
98,128
100,131
101,131
102,130
101,130
100,128
101,127
103,128
102,129
103,129
104,130
104,129
105,128
106,128
106,127
108,127
110,129
112,128
113,128
115,127
115,128
117,128
116,130
115,132
114,132
113,131
112,131
113,132
112,133
109,132
109,131
109,130
108,129
107,130
108,130
108,131
107,131
107,133
108,134
107,136
106,135
105,134
104,136
105,133
104,133
103,132
101,133
101,134
102,134
102,136
103,137
104,137
104,138
105,138
107,137
108,137
109,136
110,136
108,138
108,139
109,138
110,139
109,141
110,141
110,140
111,141
112,138
114,138
113,136
113,135
114,136
116,136
116,135
115,134
117,135
120,136
122,136
121,137
121,138
117,137
117,139
117,143
116,146
115,144
114,143
113,144
110,144
109,145
112,147
113,147
113,148
111,149
110,150
111,150
112,150
113,150
114,151
111,152
112,153
112,154
111,154
110,155
107,153
107,151
107,150
106,149
107,149
107,148
108,148
107,147
105,145
104,145
105,143
106,143
105,142
106,141
105,141
103,141
103,140
103,139
101,139
102,140
102,143
101,142
100,143
99,142
99,139
98,140
98,143
96,143
95,144
93,142
92,145
95,146
97,144
98,145
100,144
101,144
101,146
102,146
102,147
99,147
99,149
99,152
103,153
103,152
105,152
105,153
105,154
102,154
102,155
101,155
100,155
99,156
99,154
90,154
89,151
88,149
89,149
90,149
90,148
90,146
89,146
87,146
87,147
87,148
83,149
84,148
84,147
83,146
83,147
82,147
81,148
80,145
78,147
78,148
78,149
79,148
80,149
79,150
78,151
78,152
79,151
81,151
81,152
82,153
82,154
84,154
84,153
84,152
83,151
85,150
86,150
87,150
87,153
88,153
87,155
85,155
85,157
86,158
87,161
86,163
88,162
88,163
89,164
99,158
100,159
101,159
104,156
105,156
105,157
106,156
106,157
105,159
107,158
110,162
111,162
111,161
112,160
112,161
112,162
114,161
115,161
113,163
112,163
110,167
109,168
105,163
106,165
106,167
90,165
90,166
89,166
88,166
88,168
89,169
91,168
89,172
91,173
92,171
93,173
92,174
94,174
93,175
92,176
92,177
90,177
89,179
87,179
85,180
86,181
85,181
83,180
84,181
85,182
86,182
86,183
86,184
87,186
89,188
87,184
89,182
91,180
92,180
93,179
93,177
94,177
96,177
94,179
93,180
93,181
93,182
95,183
96,184
97,184
98,185
100,187
99,185
98,182
98,181
100,184
102,184
103,183
103,184
105,186
109,185
110,186
111,187
111,188
109,187
108,192
104,189
103,192
106,193
107,194
106,195
104,195
105,198
106,199
105,200
104,200
104,201
103,200
102,201
101,202
103,204
102,204
101,205
100,203
99,202
98,201
98,202
97,204
96,204
95,202
93,203
93,202
91,201
87,200
87,198
86,199
85,199
85,202
84,202
83,198
82,199
82,200
81,203
82,203
82,204
83,205
84,205
85,204
91,205
93,205
94,205
96,207
96,206
97,206
98,206
98,205
99,205
99,206
100,207
102,206
103,206
115,234
117,234
118,235
118,236
119,236
120,235
120,237
119,237
119,238
117,237
117,240
118,241
132,243
132,242
132,240
134,241
134,239
135,238
134,237
135,235
135,234
136,233
132,235
132,234
133,233
134,230
135,230
135,229
132,229
132,228
131,225
114,204
115,203
113,201
112,201
108,198
107,197
107,196
108,195
108,196
109,197
111,199
112,198
111,196
109,195
114,187
115,186
115,188
116,188
117,188
118,188
119,188
118,186
119,186
123,188
124,187
125,186
128,187
130,186
129,185
129,184
131,185
135,181
135,180
138,180
137,178
138,178
139,179
139,178
140,178
141,178
124,163
121,163
119,164
121,162
122,162
123,160
124,159
125,159
125,157
126,158
126,161
127,162
128,159
131,160
132,159
132,158
131,157
132,157
133,156
134,158
137,156
138,157
138,158
139,158
140,158
142,171
143,172
144,172
145,172
145,170
145,168
146,165
147,165
147,164
146,162
148,160
147,159
146,160
145,160
145,159
144,159
142,159
142,158
144,155
143,154
144,153
145,154
148,156
150,156
151,156
151,154
147,152
145,151
145,149
143,150
143,152
141,150
143,147
145,145
146,146
147,146
147,145
146,144
145,143
144,142
145,142
146,141
147,141
146,138
146,137
147,137
148,137
148,136
147,136
146,136
145,136
144,135
143,136
141,135
140,134
139,136
138,137
140,139
139,139
139,140
140,142
142,142
142,143
141,144
143,144
142,145
141,145
141,146
140,145
137,146
137,147
138,149
137,149
139,150
137,152
135,154
134,155
133,153
129,153
128,152
131,150
132,150
132,149
131,149
131,148
133,147
132,147
131,147
131,146
129,149
128,148
128,147
127,148
126,148
124,147
125,149
125,150
123,149
122,149
123,150
124,153
126,154
124,154
124,156
122,156
121,156
120,156
121,157
121,158
119,160
118,160
117,159
116,159
115,159
115,158
114,157
113,155
116,154
116,153
115,153
116,152
117,153
118,152
120,152
121,151
120,151
118,150
116,150
115,150
116,149
117,147
119,148
121,148
118,145
119,144
120,144
122,145
122,144
121,142
123,141
124,143
127,143
128,144
129,143
128,143
125,142
125,141
123,140
123,139
125,139
129,139
130,139
130,141
130,142
131,141
132,142
132,141
132,139
133,140
133,141
133,143
133,145
135,144
136,142
137,141
136,141
135,140
136,140
137,140
138,139
137,139
136,137
133,137
131,137
133,136
133,134
137,134
136,133
136,132
135,133
133,132
134,130
133,130
131,129
131,132
132,133
131,133
130,133
130,134
129,136
128,137
126,135
125,137
125,136
124,133
126,133
127,132
128,131
126,129
126,127
126,126
125,126
124,126
124,129
121,129
120,131
121,131
122,132
121,133
120,132
118,132
117,132
117,131
118,130
119,128
120,127
122,126
110,108
109,108
109,109
106,108
104,107
111,95
110,95
105,95
104,95
107,93
108,92
109,92
113,92
114,92
112,90
113,90
114,89
116,89
117,89
116,90
116,91
115,92
117,93
119,93
120,90
121,91
122,90
123,90
119,89
118,88
119,86
120,84
121,84
121,83
123,84
121,87
122,87
123,86
123,87
124,87
127,87
128,88
126,90
129,89
130,87
129,85
129,84
128,83
127,82
126,83
126,84
125,84
125,83
126,82
126,81
124,82
124,81
124,80
127,79
126,78
127,76
129,75
130,74
130,75
131,76
129,78
130,78
131,79
131,81
130,81
129,81
130,82
131,82
132,83
132,84
131,84
131,85
133,86
133,85
133,83
134,83
135,82
135,81
133,80
133,79
132,78
133,77
133,75
133,74
136,75
136,76
137,76
135,77
136,79
136,80
137,80
138,79
138,78
138,77
139,77
138,75
139,73
139,72
