x,y
141,46
140,46
140,45
142,44
142,43
141,41
142,42
143,42
144,42
145,41
143,41
144,39
144,38
145,38
146,38
146,40
147,39
147,40
147,41
148,39
150,38
152,38
152,39
151,40
152,40
153,40
152,41
153,41
153,42
154,43
153,43
151,46
150,46
149,43
149,42
148,43
147,43
146,42
147,44
147,45
145,44
145,45
144,45
145,46
147,46
147,47
149,47
147,50
149,49
150,49
151,48
150,50
151,50
152,51
153,52
153,50
154,48
153,47
154,45
155,44
156,44
155,42
155,39
157,38
158,43
160,44
159,45
156,45
157,46
157,47
156,48
157,48
159,47
160,47
161,47
163,47
161,49
160,49
159,49
158,49
157,52
155,51
156,52
156,53
158,53
159,53
158,54
160,54
160,55
161,55
160,53
161,52
162,51
163,51
164,51
164,50
164,49
165,51
166,50
167,50
167,52
168,51
169,51
169,50
170,50
167,48
165,47
166,47
167,46
168,46
168,45
166,45
167,43
168,42
167,41
166,41
165,41
165,40
164,40
164,43
163,44
162,45
161,45
162,43
161,42
159,42
159,41
159,40
161,39
160,39
160,35
159,35
159,34
161,32
160,32
159,32
157,33
155,32
155,33
155,35
155,36
154,35
152,36
151,36
152,34
151,34
149,35
150,33
152,33
153,31
151,31
150,31
152,30
151,29
150,28
152,26
151,26
150,25
150,24
152,25
154,26
154,29
155,28
156,28
157,26
157,27
158,27
160,27
158,29
157,30
159,30
161,29
161,30
162,30
163,30
163,29
167,30
166,33
165,33
163,33
162,33
163,34
164,34
165,32
166,32
168,32
169,33
169,32
175,34
174,35
173,35
172,34
168,34
168,35
168,36
167,36
165,37
167,39
169,38
169,41
169,40
172,41
172,37
173,38
174,38
174,39
175,39
175,40
176,39
177,38
177,37
178,37
180,37
182,39
177,40
178,39
178,40
178,41
181,41
181,42
181,43
181,44
182,43
182,42
187,42
188,43
190,44
192,46
193,47
192,49
192,48
192,47
189,45
188,45
187,46
186,46
184,45
184,47
185,47
188,48
188,49
190,49
190,50
191,50
190,51
189,52
187,52
187,50
186,51
186,53
186,55
185,55
183,56
183,55
185,52
181,51
182,50
183,49
182,49
181,47
180,47
177,45
177,44
175,42
173,42
174,44
173,44
172,44
171,43
170,43
169,44
170,45
172,46
172,47
171,49
172,49
173,49
174,46
174,47
176,47
177,48
178,49
178,51
176,51
175,51
177,53
178,53
179,53
180,54
177,54
175,53
174,52
173,55
172,55
172,53
171,53
171,54
168,53
168,54
165,57
168,58
169,58
168,59
168,60
169,61
171,61
172,61
173,60
173,57
174,56
174,57
176,58
177,55
180,57
179,57
178,58
178,59
178,60
179,59
180,60
180,59
180,58
181,58
182,58
183,58
186,58
187,57
187,56
188,55
188,56
188,58
187,59
187,60
189,59
189,60
188,61
188,62
188,63
187,63
186,62
184,63
184,62
183,62
183,60
182,62
180,61
178,63
178,62
178,61
177,61
176,63
175,63
174,62
174,63
174,64
175,64
176,65
176,66
178,69
180,70
179,68
178,68
179,65
180,64
180,66
182,67
183,66
182,64
183,65
184,66
185,66
186,68
187,68
187,69
185,69
183,69
182,70
184,70
183,73
183,74
184,73
186,74
187,72
189,72
189,68
191,69
192,69
191,71
192,72
192,73
194,73
194,72
196,71
193,68
192,68
192,67
196,68
196,67
197,66
197,65
196,64
195,65
195,64
195,63
196,61
194,62
191,64
191,66
189,65
189,64
187,65
187,66
186,65
188,64
189,63
190,63
193,60
191,59
190,59
192,58
190,56
190,54
190,53
191,54
192,56
193,56
193,58
195,58
196,58
195,57
194,56
195,55
193,54
193,52
194,50
195,49
196,53
197,53
197,54
198,56
197,57
197,58
199,58
200,58
200,56
200,55
203,57
203,58
204,60
206,60
204,61
203,62
202,61
202,62
202,63
202,64
201,64
201,66
199,65
200,66
200,67
198,68
197,69
199,69
201,71
202,71
201,69
203,67
204,67
203,66
203,64
204,64
205,65
205,64
206,63
208,62
209,65
210,66
211,67
210,69
209,67
209,66
207,66
208,67
207,68
206,68
205,67
205,68
206,71
205,72
204,71
203,72
204,73
204,74
203,75
203,76
204,76
205,75
207,75
208,75
208,74
208,73
209,71
210,71
211,73
213,71
214,70
212,74
212,75
211,75
209,75
208,77
210,77
210,79
209,80
209,81
209,82
209,83
211,84
209,84
208,84
208,85
208,87
206,86
204,84
207,83
207,82
207,81
208,81
208,80
207,80
207,79
205,80
205,78
203,78
202,78
203,79
204,79
203,81
202,80
200,81
198,81
197,80
197,79
197,78
199,78
198,77
197,73
196,73
195,75
194,75
195,79
195,80
194,78
193,77
191,75
191,74
189,76
188,75
187,77
188,79
189,78
190,77
190,78
189,79
192,80
193,79
194,80
188,82
190,83
190,84
192,86
191,86
189,86
188,86
190,87
190,88
191,87
193,89
192,90
191,90
189,91
190,93
190,94
192,95
194,94
193,94
192,93
193,93
194,93
194,92
194,91
195,91
196,91
195,90
195,89
196,88
197,87
195,87
194,86
193,84
195,85
195,84
195,83
196,82
199,83
200,82
201,82
202,82
202,85
203,85
204,88
202,87
200,86
199,88
198,90
201,91
202,92
201,92
200,92
199,92
199,94
197,94
197,95
196,95
196,96
198,96
199,96
199,95
199,97
200,98
202,99
203,98
202,96
202,95
203,96
204,97
204,98
205,98
205,97
205,96
206,96
205,91
208,90
208,89
209,90
208,92
207,92
208,93
209,95
209,97
210,94
211,93
211,92
211,91
211,90
211,89
212,90
216,90
216,92
216,93
216,94
215,94
214,93
215,96
213,96
214,98
212,99
211,99
211,98
210,99
211,100
210,101
212,102
212,103
214,103
214,102
214,101
214,100
215,101
219,101
220,101
221,101
222,101
218,100
216,98
216,97
218,98
219,97
219,99
220,99
221,99
222,99
223,99
221,97
220,96
219,96
218,95
217,93
218,92
217,91
217,90
218,90
220,91
220,90
219,89
219,88
217,88
218,87
217,86
215,86
216,84
214,85
213,84
212,84
214,82
212,82
211,80
212,79
213,79
214,78
214,79
215,80
215,79
216,78
215,77
214,76
213,77
213,75
214,74
215,75
215,73
216,73
217,73
217,74
218,75
217,77
218,78
219,77
220,78
219,78
219,79
218,81
217,83
218,83
221,80
221,79
221,78
223,81
222,81
221,82
220,83
222,83
221,84
222,85
221,85
220,86
220,87
222,87
222,88
223,88
223,87
223,85
225,84
226,85
225,86
226,88
224,90
223,90
