x,y
250,89
251,86
253,86
254,86
254,88
255,90
253,90
252,92
254,93
256,95
258,94
257,93
259,91
260,90
262,90
263,93
262,93
260,94
261,96
259,95
259,97
258,98
258,100
258,101
259,100
261,100
262,99
262,101
265,103
265,102
266,101
267,99
266,98
266,97
264,93
265,90
267,91
268,94
268,95
270,93
270,92
270,90
271,90
272,90
273,90
272,92
273,93
273,94
271,95
272,96
271,97
270,97
268,97
268,98
268,100
269,102
270,103
270,105
271,105
271,100
273,99
273,98
274,98
274,105
273,106
274,107
273,108
273,110
272,110
272,109
269,109
268,108
268,109
268,110
270,111
271,112
272,111
274,114
275,115
277,112
277,115
274,117
272,116
272,117
270,117
268,115
266,118
267,120
264,120
263,120
265,122
266,122
267,121
269,121
272,121
275,119
274,121
277,125
277,127
275,127
273,124
273,125
271,124
270,126
270,127
270,128
269,128
269,127
269,126
268,125
266,126
265,127
267,128
265,133
263,132
263,130
262,129
263,127
263,126
262,127
259,126
258,126
260,125
261,124
258,120
259,118
259,116
260,118
262,118
261,117
264,117
264,116
265,113
264,111
266,109
265,106
264,108
261,109
262,111
261,111
260,113
259,112
259,111
258,110
255,111
253,111
256,109
259,108
259,105
258,106
254,106
256,104
255,103
254,103
252,101
251,101
252,100
255,99
254,98
251,96
250,95
249,94
248,92
248,94
248,95
248,97
246,98
244,98
245,103
247,102
248,104
248,105
249,106
247,105
245,106
246,107
246,108
247,109
249,109
247,112
246,113
245,113
244,111
243,111
241,110
242,109
244,107
243,107
242,106
241,105
241,104
240,104
239,103
237,102
235,104
237,104
240,107
238,109
236,110
233,109
230,112
230,111
230,110
232,107
230,107
229,108
229,107
228,106
231,103
232,103
233,103
233,100
232,100
232,99
231,100
230,100
229,99
229,101
229,104
228,105
226,104
226,102
227,101
225,99
225,98
224,99
223,98
222,101
221,100
219,102
217,101
218,100
220,99
220,96
220,95
218,95
216,95
217,96
216,97
215,101
216,102
217,102
216,104
218,104
218,107
221,106
222,106
223,106
225,107
224,109
224,110
223,110
224,112
220,113
219,112
219,114
224,114
225,112
227,113
227,111
231,114
233,114
232,115
232,116
233,116
234,116
235,118
235,120
237,122
235,122
234,121
232,119
232,121
231,121
230,123
229,123
228,121
227,121
227,120
227,119
225,118
224,119
223,119
224,121
225,122
226,124
226,125
224,125
221,124
223,126
222,128
219,127
218,126
214,126
217,122
218,122
220,121
219,116
218,116
217,117
217,118
216,118
215,118
214,117
215,116
212,115
213,114
214,115
215,114
214,114
215,110
217,109
218,109
215,107
215,108
214,109
213,110
210,111
210,112
207,114
207,112
206,110
205,108
207,110
207,109
208,110
208,109
209,107
210,108
211,106
210,105
211,104
210,101
209,103
208,104
205,105
205,103
207,102
205,99
204,99
203,99
202,98
203,101
202,101
201,104
199,105
199,103
197,103
196,101
194,102
194,104
195,107
194,105
193,104
192,102
191,100
190,99
193,99
194,99
193,97
193,96
194,94
195,97
198,95
198,94
196,94
198,92
196,91
193,90
192,91
191,91
191,89
190,88
189,93
188,94
187,93
187,94
187,96
189,96
189,97
187,97
186,97
186,98
185,100
184,101
187,104
188,104
187,105
186,106
185,106
185,107
182,106
181,106
181,107
184,108
185,109
186,110
185,111
184,111
183,110
182,111
184,115
183,114
182,115
179,114
180,115
180,116
178,118
176,115
175,116
174,117
174,120
175,123
174,126
177,125
178,120
181,124
180,126
181,128
182,127
183,127
184,129
185,130
187,130
185,128
186,128
187,126
187,122
189,120
185,120
184,119
184,117
186,116
187,117
188,118
187,116
187,112
188,113
190,115
190,110
190,108
192,112
192,113
193,114
193,113
194,113
196,113
198,114
198,115
198,117
197,118
195,117
193,117
194,120
195,121
196,120
196,119
198,119
197,120
197,121
196,123
195,123
195,124
196,124
194,128
198,127
198,125
197,124
198,124
203,127
201,125
200,124
200,123
199,121
198,121
199,120
202,120
200,118
200,117
199,115
200,111
204,111
203,112
204,115
207,117
205,118
206,119
207,119
208,121
210,117
212,118
212,120
213,120
213,121
213,122
212,122
211,122
207,122
206,124
207,126
205,128
207,127
209,125
210,126
210,128
210,129
209,129
207,133
207,134
209,135
211,138
210,138
208,136
206,137
207,141
206,139
203,139
204,135
202,136
201,137
201,136
201,133
199,135
199,137
201,142
201,144
200,143
199,141
197,140
196,140
197,142
198,143
197,144
197,146
195,146
196,145
195,143
193,143
193,141
191,139
193,135
196,134
193,133
194,132
191,129
191,130
191,133
191,135
189,134
186,136
187,137
186,137
185,139
185,140
187,139
189,138
189,140
190,140
191,141
192,142
188,143
190,144
190,145
193,145
193,146
189,145
188,146
187,145
187,147
186,149
187,151
189,151
189,152
190,153
192,152
192,153
191,154
186,154
188,157
191,157
191,159
190,161
191,160
192,159
194,159
194,157
193,157
192,156
193,155
195,156
196,154
197,155
201,157
200,156
199,155
194,152
196,150
197,149
198,148
203,153
204,152
204,151
200,149
202,148
201,146
203,147
203,146
204,144
204,143
206,147
208,147
210,146
211,148
214,149
214,152
217,152
218,153
216,155
217,156
217,157
215,157
214,161
214,160
211,159
212,154
211,154
209,152
208,152
208,153
206,154
206,155
204,155
205,157
205,158
205,159
206,160
208,160
209,160
208,161
209,162
208,163
202,161
202,162
204,162
204,164
206,164
206,166
209,164
211,165
211,166
209,166
209,167
207,168
208,170
209,170
210,172
208,172
207,172
206,172
206,173
207,173
207,177
206,177
205,179
205,183
206,183
208,182
210,180
209,180
208,179
211,176
213,177
212,178
213,179
214,180
217,180
217,177
215,175
214,175
215,173
213,172
212,169
214,170
215,168
217,172
220,171
221,171
223,171
223,172
224,172
226,172
224,170
223,169
217,167
217,165
217,164
219,163
220,164
221,166
222,166
222,165
222,162
222,161
223,161
227,161
225,159
224,158
222,157
222,158
221,159
219,159
218,159
220,156
223,154
220,153
221,153
221,151
221,150
218,150
220,149
218,148
217,149
217,147
220,144
221,141
220,140
219,140
218,140
218,139
220,137
221,135
223,134
222,131
220,132
220,133
218,134
217,133
220,130
219,129
218,128
217,129
216,132
215,131
213,130
214,134
215,135
214,136
215,136
216,137
214,137
213,138
214,138
215,140
215,142
213,142
212,143
210,143
210,144
212,144
212,146
213,145
214,144
215,144
216,144
217,143
217,144
219,145
221,147
223,147
224,146
224,148
227,150
227,149
226,147
226,145
224,145
224,144
225,144
229,144
228,143
226,141
226,139
225,138
228,138
227,135
227,133
228,132
229,132
229,133
230,134
231,134
230,135
230,137
233,136
232,137
231,143
232,144
232,145
234,143
233,141
239,140
238,138
236,138
236,136
235,136
235,133
237,134
238,134
238,133
239,132
237,131
233,129
230,129
227,128
230,128
231,127
234,127
234,126
236,126
235,128
236,128
237,128
237,127
239,129
240,129
240,127
241,126
241,124
241,123
241,121
243,124
243,125
243,127
246,125
245,122
244,121
244,120
243,120
243,118
242,118
240,118
238,117
240,116
243,116
247,118
246,119
246,122
248,123
251,122
249,120
250,117
252,117
252,115
252,114
252,113
253,113
254,114
254,115
256,115
256,116
254,118
253,119
254,120
252,124
251,125
253,124
257,124
256,126
256,128
254,129
252,129
256,130
257,134
256,133
254,131
252,133
250,133
250,127
249,127
247,128
246,129
246,130
246,131
245,131
243,130
241,131
244,133
245,134
248,135
248,136
249,138
252,138
253,138
252,140
251,138
251,139
249,139
248,139
247,139
247,141
246,141
245,143
245,142
246,138
245,138
244,136
243,136
242,137
240,140
241,141
242,141
243,141
243,142
242,144
241,143
240,145
238,142
237,142
236,143
236,145
237,146
236,146
235,148
234,148
232,147
232,149
233,150
231,152
230,152
231,154
232,153
235,152
237,152
236,154
237,154
238,154
239,152
239,154
237,161
237,162
236,160
235,158
235,157
231,156
230,155
228,154
227,154
229,157
230,159
230,160
234,162
231,163
232,164
231,164
227,162
226,163
227,164
225,166
225,167
230,168
231,168
229,169
229,170
230,171
231,172
232,171
233,171
235,171
235,170
232,168
235,166
237,171
238,169
240,169
239,168
239,165
239,162
240,160
242,159
242,158
243,159
243,161
243,164
243,165
244,163
246,160
247,161
248,163
246,166
247,166
248,167
246,167
244,167
242,168
247,169
247,172
248,173
249,172
251,173
251,171
252,171
251,167
255,171
258,168
255,166
254,165
256,165
256,164
257,164
254,161
252,161
250,161
254,159
253,158
247,154
245,154
244,154
242,154
241,154
242,152
243,152
243,151
241,149
239,150
239,148
240,147
244,146
245,148
244,152
245,151
246,151
247,150
248,151
248,149
249,147
250,147
251,146
253,150
252,150
251,152
250,152
253,154
254,155
255,155
257,154
258,153
255,153
254,151
255,150
257,150
258,150
258,147
257,147
255,144
256,143
257,144
258,144
259,142
259,143
259,148
261,147
260,143
263,142
262,142
258,141
256,137
255,136
257,136
260,137
262,137
262,138
263,140
265,139
266,139
266,138
267,138
267,137
267,135
266,134
267,134
271,135
270,130
274,130
276,135
274,140
273,140
272,139
271,138
269,140
267,141
268,141
271,140
274,142
272,143
272,144
273,145
270,145
266,144
267,146
266,148
263,150
265,150
266,152
267,153
268,152
269,151
269,153
270,154
267,154
266,155
263,154
262,155
262,156
258,156
260,157
262,159
262,160
263,159
261,160
262,162
261,164
262,163
265,161
267,161
266,165
265,166
263,166
264,167
264,170
262,174
260,174
259,172
258,173
257,173
255,173
254,175
253,177
255,175
257,174
257,178
260,177
261,176
261,177
263,177
263,178
259,179
259,180
260,181
261,183
259,182
257,180
257,182
256,185
257,187
258,186
260,185
261,185
261,186
260,187
258,188
256,189
253,189
255,191
256,191
255,192
258,198
257,202
256,199
255,195
252,192
252,193
251,192
250,193
251,196
252,196
253,200
253,201
251,205
251,207
250,206
250,204
250,202
252,199
250,198
248,199
249,196
250,195
249,195
248,194
243,194
242,193
247,191
247,190
248,190
248,188
248,185
249,184
252,185
252,183
253,179
251,180
249,181
248,181
248,180
247,180
249,178
248,175
249,174
248,174
247,174
246,174
245,173
245,171
243,173
238,173
239,175
242,177
242,178
244,177
244,183
242,184
243,185
244,185
244,186
245,187
244,187
242,186
242,188
241,188
240,190
240,189
239,187
239,186
240,185
239,185
238,185
235,187
235,189
233,189
234,192
235,192
234,194
233,194
232,195
231,192
230,191
229,192
227,189
229,188
229,187
232,187
232,186
231,184
229,184
230,182
230,181
231,181
231,182
234,184
234,183
234,182
236,183
237,181
235,181
236,178
233,181
232,181
232,180
231,178
232,176
232,175
230,176
229,178
229,179
228,179
227,179
227,175
224,174
222,176
223,179
221,179
221,182
221,183
224,183
226,181
226,183
227,184
225,184
222,185
224,188
222,187
221,186
220,185
219,185
217,182
215,183
214,186
213,187
214,189
216,191
217,187
219,187
220,189
221,192
219,193
220,196
219,197
223,195
223,196
223,199
221,198
221,200
220,204
225,205
222,205
221,206
221,207
222,208
220,209
220,210
219,210
216,211
214,210
216,213
219,215
220,214
220,213
220,212
222,212
223,209
224,210
225,212
224,213
224,214
225,213
226,213
229,211
229,212
230,213
230,214
231,214
231,213
234,212
235,209
235,208
236,206
236,205
234,207
232,206
231,205
232,203
232,201
228,202
226,201
226,200
227,200
230,200
231,199
232,198
233,199
234,200
234,201
236,203
237,203
238,202
237,201
236,199
235,198
235,196
237,197
237,194
239,195
239,199
240,198
241,198
244,199
245,199
243,201
242,203
240,205
239,204
238,204
239,206
240,207
238,208
240,210
240,211
238,211
239,212
240,214
242,214
243,215
242,212
244,211
245,212
244,207
245,207
248,207
248,211
249,209
251,209
251,211
248,212
246,216
246,217
247,216
249,216
250,215
254,212
253,214
252,217
251,217
250,218
251,221
250,222
249,222
247,223
247,222
244,219
244,217
243,218
241,219
238,220
238,217
236,216
237,214
236,215
235,215
234,217
233,216
229,217
228,217
230,218
230,219
231,219
233,220
234,221
233,221
231,221
228,220
225,222
225,224
227,224
229,223
231,222
234,223
236,222
236,224
239,225
240,224
241,226
240,228
242,229
243,226
244,226
245,227
245,229
247,227
250,230
249,232
250,235
248,234
248,233
247,231
246,233
243,233
242,232
240,230
239,229
237,230
238,232
239,233
236,235
235,235
236,236
235,239
234,241
236,241
239,239
241,240
244,239
246,237
247,236
245,239
245,240
244,240
245,242
246,242
248,244
247,245
244,244
244,245
243,247
244,246
245,246
246,247
248,246
248,247
246,249
244,251
243,251
246,258
244,257
242,257
242,258
241,257
239,257
240,255
241,254
241,248
239,247
240,244
235,244
238,249
238,250
238,251
237,251
236,251
235,249
232,249
232,251
232,252
232,253
234,254
235,255
231,256
230,257
230,258
230,260
230,261
227,259
226,258
225,257
226,257
228,257
229,252
230,252
231,251
229,250
229,248
231,247
232,244
231,245
230,245
230,246
229,247
227,247
228,250
226,252
226,253
225,251
224,251
223,250
225,249
226,247
223,247
224,245
225,241
223,241
221,242
220,237
221,237
224,235
225,236
228,236
226,237
225,238
226,240
228,242
229,241
231,238
233,237
230,237
229,236
229,235
230,233
231,234
232,234
234,233
233,231
234,230
232,229
233,227
232,227
230,227
227,227
229,230
229,232
227,233
226,233
227,231
224,229
224,228
223,227
222,227
222,230
221,230
221,231
220,231
219,228
218,227
221,228
221,227
221,226
222,226
221,225
219,224
220,223
222,222
222,221
221,220
222,219
224,219
224,217
222,217
219,217
218,220
220,220
220,221
219,222
218,221
216,222
213,221
210,219
208,218
208,217
206,216
206,217
214,219
216,225
215,226
216,227
213,228
212,230
211,231
210,232
209,234
209,235
209,236
215,231
214,233
214,234
218,234
217,235
215,238
216,239
214,241
217,242
215,242
214,242
213,242
211,243
211,242
213,240
213,239
213,238
212,239
210,240
208,239
206,242
205,243
203,245
201,243
204,241
204,240
200,227
194,225
193,226
194,229
192,229
191,228
191,230
190,232
186,239
187,242
185,243
183,246
182,249
185,253
179,252
178,254
177,258
177,260
177,261
176,263
177,263
177,267
182,266
182,265
183,263
182,261
184,261
184,260
183,258
184,257
191,250
189,248
192,245
193,248
194,248
195,247
196,247
194,251
193,251
194,250
195,251
201,255
202,256
201,254
200,250
198,249
201,246
202,248
203,248
202,250
202,251
204,251
205,253
205,252
205,250
207,249
206,248
207,248
208,248
205,246
205,244
207,243
208,243
210,244
211,244
212,246
212,250
214,250
215,250
215,248
217,247
217,246
218,246
218,244
219,245
221,247
219,248
219,249
219,250
219,251
221,252
221,253
219,252
219,254
220,254
222,255
222,257
219,257
217,257
216,258
215,256
214,256
215,255
216,254
215,252
214,251
212,252
211,252
211,257
210,256
210,254
209,254
209,252
207,253
207,257
206,257
205,257
205,258
205,259
206,258
208,260
207,261
209,263
210,265
211,265
213,264
214,265
215,265
216,263
214,263
214,261
218,263
218,261
219,260
222,258
223,258
226,260
227,263
226,263
225,265
225,267
223,264
220,266
218,266
217,268
219,269
220,269
220,270
219,271
220,271
222,271
223,273
219,274
221,274
222,277
223,277
223,280
220,280
221,279
220,277
219,277
218,278
217,279
217,277
215,276
215,277
214,278
213,280
213,279
212,278
212,277
214,276
216,273
216,271
212,274
212,272
211,272
209,272
209,271
210,271
215,269
214,268
211,268
210,266
210,267
209,269
208,270
207,269
206,270
206,271
205,271
205,270
204,269
205,269
206,268
207,267
208,266
206,266
206,265
205,264
204,266
204,267
203,268
201,269
201,270
200,270
201,267
200,267
202,266
202,265
203,260
198,260
198,257
197,258
196,259
197,260
197,262
197,263
196,262
195,260
194,261
195,263
196,263
195,265
197,266
196,267
195,268
198,269
195,270
195,271
194,271
194,273
194,274
193,275
193,276
194,276
196,275
199,276
199,274
200,274
201,272
202,272
202,273
205,273
203,275
205,277
202,278
202,277
201,277
200,278
198,278
196,277
195,279
198,279
200,283
201,282
202,283
203,284
204,284
206,280
208,277
208,278
208,280
208,281
207,281
209,284
206,285
205,286
202,286
199,285
197,286
196,286
198,287
198,288
193,289
196,291
199,292
198,293
198,294
199,295
200,294
200,295
202,290
204,289
206,290
204,292
207,292
207,294
206,294
205,296
203,296
204,298
207,299
207,301
204,301
202,297
201,297
200,299
203,301
204,302
204,303
202,302
200,305
201,305
203,305
204,305
202,308
206,310
206,311
207,310
209,307
206,305
205,304
209,304
208,302
211,304
211,303
211,300
213,302
213,303
218,301
217,300
215,296
214,296
213,293
214,291
212,292
210,294
210,290
209,290
208,289
210,287
211,289
212,288
213,287
213,284
213,283
214,282
214,283
215,284
216,284
218,283
218,285
218,286
216,285
218,287
217,288
216,289
216,290
217,291
217,292
216,293
217,294
219,294
219,293
221,293
221,291
218,290
220,288
220,287
220,285
221,287
223,289
224,290
227,291
229,291
229,293
232,292
232,291
233,291
234,290
232,290
232,287
231,286
231,287
230,290
229,290
227,289
226,289
225,288
223,287
223,284
223,283
223,282
225,283
225,282
228,281
229,284
228,286
230,285
231,281
232,282
233,281
235,280
235,279
230,280
229,279
228,279
229,278
228,277
226,277
226,279
231,276
231,274
230,273
225,274
226,272
228,271
229,270
229,269
230,267
233,265
233,267
234,269
234,272
232,273
232,274
233,274
240,275
241,274
240,273
242,271
243,278
245,277
245,275
244,271
243,271
243,266
242,265
243,265
246,265
246,262
245,262
242,261
242,263
241,263
241,262
238,262
237,262
237,259
237,257
235,261
235,262
234,262
234,263
236,263
240,265
240,266
240,268
240,270
239,270
238,272
239,273
239,275
238,278
238,280
240,281
243,281
243,282
245,282
243,284
240,284
239,285
238,284
237,282
235,283
236,285
237,287
239,287
240,286
241,287
243,286
245,291
244,292
243,291
242,293
241,292
237,289
238,292
239,293
243,294
242,295
240,297
241,298
238,295
237,297
237,298
236,298
234,301
233,302
234,299
234,298
233,298
234,297
233,297
231,299
230,297
230,296
227,295
226,296
226,295
226,294
227,293
225,293
224,293
225,294
225,295
223,295
222,298
223,299
224,300
224,299
225,298
227,300
228,299
229,301
226,301
226,302
223,304
223,305
222,306
219,305
218,304
217,306
214,306
217,310
217,312
218,312
219,312
220,308
223,306
225,306
227,306
229,304
229,306
230,306
229,308
231,307
232,304
236,306
235,309
235,310
233,311
232,310
231,310
230,309
230,310
230,312
232,312
232,313
234,312
235,313
236,312
236,311
237,312
238,313
238,312
238,310
238,305
239,303
242,302
244,298
243,301
243,302
245,303
243,304
241,305
242,306
243,307
244,307
245,306
245,305
246,305
247,308
