x,y
254,137
256,137
255,133
253,133
252,132
251,129
250,128
248,128
246,127
249,122
250,125
249,126
250,126
253,127
254,128
255,127
256,123
257,123
261,123
262,122
262,124
263,126
259,127
259,129
258,129
256,131
256,132
260,131
262,132
261,133
261,134
262,135
267,133
270,133
269,136
269,138
270,140
270,139
271,137
274,136
275,137
273,137
272,138
274,138
274,141
274,142
275,143
273,145
271,143
268,142
269,145
268,145
270,147
268,148
270,150
272,150
273,151
273,149
274,149
276,150
275,148
278,146
279,146
279,148
280,147
282,149
284,149
282,151
284,156
286,157
286,155
288,154
286,153
287,152
286,149
288,145
287,145
284,146
284,145
283,145
284,142
283,142
280,144
280,143
282,141
280,140
279,141
278,142
277,143
277,141
279,139
278,137
281,137
282,137
282,139
284,140
286,138
288,138
286,136
286,135
284,134
282,132
281,131
280,130
278,131
278,132
276,130
274,129
273,129
274,130
273,132
270,128
266,129
266,128
268,127
268,124
266,121
265,121
265,120
267,121
270,122
271,121
271,123
272,124
272,125
271,126
273,126
273,127
274,126
276,126
279,124
283,126
283,129
286,130
287,130
288,129
286,128
285,125
286,123
285,118
285,117
284,114
283,112
281,112
281,113
279,113
279,115
279,118
281,119
284,118
282,119
281,120
281,121
279,122
277,120
276,120
277,121
276,123
275,121
274,121
274,120
274,117
276,118
277,117
276,117
277,115
276,114
274,113
275,111
276,111
277,112
278,112
277,110
280,111
281,108
280,106
279,106
277,103
277,101
275,100
266,97
266,98
267,100
267,101
269,104
270,104
271,105
275,104
276,104
275,105
277,107
275,109
274,109
273,108
266,113
265,117
263,119
263,116
262,114
258,117
257,115
251,117
253,116
256,115
255,111
258,113
259,114
265,112
264,109
263,109
260,111
259,110
260,108
257,108
257,105
258,105
261,104
262,105
264,102
263,101
263,100
261,97
261,98
259,101
258,103
258,102
258,101
258,100
257,99
257,98
256,99
255,99
254,100
252,101
255,103
254,106
253,105
253,107
252,109
251,111
249,110
250,109
251,108
251,107
250,108
249,107
249,105
249,104
250,104
249,103
246,100
245,101
243,102
240,101
240,102
241,103
242,104
241,104
242,105
243,109
242,110
246,110
246,112
247,113
247,114
248,113
248,114
250,114
251,116
249,119
246,121
246,119
244,118
244,115
242,111
235,105
234,109
234,108
233,109
231,107
230,112
229,111
226,112
226,109
226,108
226,107
227,106
228,104
227,104
227,103
226,103
226,102
224,103
226,106
223,107
221,107
222,108
222,109
222,110
224,109
224,112
221,115
220,111
219,112
214,126
209,120
209,119
208,118
208,117
209,118
210,117
214,114
215,112
218,110
217,109
218,107
218,106
214,105
212,104
210,105
207,103
208,102
211,102
210,100
211,99
212,100
214,101
217,103
220,103
220,102
219,102
217,97
219,98
221,99
221,96
224,97
224,96
224,94
228,96
230,93
231,95
233,94
232,93
233,90
233,88
232,84
228,85
225,82
227,81
226,80
223,79
224,78
223,77
221,76
219,74
223,76
223,74
225,74
225,73
226,72
226,76
226,77
225,78
226,78
229,75
230,75
231,75
232,74
231,77
230,77
231,80
233,79
234,77
234,76
236,76
236,75
237,75
239,74
239,75
237,76
238,78
242,75
241,78
242,80
239,81
238,80
235,82
236,84
239,82
241,81
242,83
244,83
244,81
245,79
245,77
246,74
246,73
247,74
247,78
248,77
250,78
252,77
253,77
255,77
253,78
254,80
254,81
252,82
252,83
251,85
247,86
246,86
246,88
247,90
244,91
241,92
241,91
240,90
241,89
242,89
243,89
243,86
242,85
236,88
235,89
235,92
236,91
237,90
237,91
237,93
238,94
235,96
237,96
239,95
239,98
241,100
243,100
243,99
244,99
246,97
244,96
245,94
246,95
247,95
248,94
247,98
248,99
249,100
250,98
251,98
250,96
253,95
253,92
251,92
250,92
249,92
249,91
250,91
251,88
254,87
255,89
258,89
259,91
257,92
258,92
259,93
262,94
263,91
263,92
264,93
266,93
271,95
275,95
274,94
270,90
271,89
270,89
269,86
267,85
267,84
266,84
266,85
263,88
261,90
260,87
261,84
260,85
258,85
257,83
257,82
258,80
257,79
260,80
264,81
266,80
265,78
265,77
265,76
263,74
261,75
258,76
257,73
262,72
260,71
260,70
258,64
258,63
254,61
254,63
256,66
255,66
253,66
252,71
252,72
252,73
251,74
250,75
251,73
248,71
248,70
250,70
248,68
250,66
248,65
248,67
247,67
247,68
246,67
245,68
244,67
242,67
244,69
244,71
240,71
238,71
236,72
236,70
235,70
231,72
230,69
228,68
227,67
228,67
232,67
233,66
234,66
238,66
236,62
239,61
240,64
240,65
241,64
242,65
244,64
247,63
247,62
247,61
248,60
247,59
246,60
243,59
243,60
241,60
241,58
241,57
240,55
241,53
243,54
247,56
247,57
248,58
248,57
249,59
249,60
251,60
252,55
256,58
255,56
254,55
254,54
253,54
252,54
249,54
248,55
245,55
242,52
243,50
244,50
246,51
247,50
247,49
248,50
250,50
247,47
248,46
247,45
250,45
249,44
248,42
245,44
245,42
245,40
245,39
244,38
245,37
243,35
242,35
241,35
242,36
242,38
241,41
238,43
239,44
240,46
241,46
242,46
243,45
243,47
240,49
239,49
239,50
238,51
234,51
234,49
235,46
236,46
235,44
236,42
234,42
233,35
235,36
236,37
239,38
238,36
237,34
236,34
239,30
236,31
232,32
232,31
231,31
231,30
231,29
230,28
230,27
230,26
233,25
231,24
230,24
229,24
227,27
222,25
219,27
218,26
218,25
217,25
215,24
215,25
214,24
213,25
211,24
212,25
210,29
212,31
212,30
213,29
215,29
216,29
217,29
218,28
219,30
220,29
220,30
220,33
222,33
224,34
226,33
226,35
223,34
223,35
222,38
220,38
219,38
219,37
219,36
217,39
217,38
217,36
215,36
216,35
217,33
214,34
213,33
212,33
212,34
211,35
211,34
211,33
210,32
209,32
208,29
209,28
207,27
208,26
207,25
208,25
209,24
209,23
206,21
205,21
204,22
201,21
200,20
199,19
200,23
201,24
202,27
204,28
205,28
203,29
200,29
199,29
201,31
202,31
204,32
205,33
203,38
202,38
198,38
196,39
198,39
200,38
200,39
198,41
200,42
201,41
203,43
206,43
207,43
206,39
208,39
207,37
212,36
212,37
214,38
210,40
210,42
209,44
209,46
210,47
214,45
215,47
216,43
217,42
217,41
220,44
220,45
222,45
223,44
220,41
222,39
223,39
225,38
228,39
229,45
231,48
229,47
227,46
227,47
226,47
224,48
223,47
222,47
221,47
221,48
219,46
217,49
217,50
217,51
215,51
212,49
214,53
215,56
217,55
218,52
220,51
221,51
221,53
223,54
227,57
231,52
231,54
233,55
234,54
234,55
234,56
235,59
233,58
230,60
228,59
227,59
227,60
226,61
226,62
230,63
228,63
226,63
226,64
224,64
222,65
221,63
224,59
223,59
223,58
222,56
221,55
221,57
220,58
221,58
221,59
221,60
219,60
215,60
216,62
219,65
222,68
220,69
220,70
218,71
214,65
212,64
212,66
207,66
207,64
204,62
204,60
203,61
201,62
200,59
198,60
199,57
198,58
195,59
194,61
193,58
189,57
187,62
185,61
184,60
180,63
180,61
180,59
182,59
183,58
181,41
180,42
176,44
174,44
172,43
171,44
169,43
168,41
165,41
167,40
170,40
172,41
171,38
173,38
175,42
176,41
176,39
177,39
178,35
179,34
181,32
181,36
180,37
184,37
185,38
186,34
186,33
188,31
188,33
189,33
189,35
190,38
189,40
192,38
194,38
193,37
195,35
196,34
193,32
194,31
195,31
196,33
197,32
197,33
198,32
198,30
195,27
196,26
197,25
197,23
198,22
197,22
197,19
196,19
194,20
191,19
192,21
192,23
194,23
194,25
194,27
193,27
191,27
187,26
185,29
185,31
184,29
181,28
178,29
179,28
178,26
183,26
189,22
188,20
187,20
187,21
186,20
181,22
180,23
179,21
178,21
176,22
177,24
176,25
174,22
172,23
172,25
170,23
169,24
168,24
169,26
171,26
171,28
171,31
170,33
168,32
166,32
166,30
168,29
166,26
164,27
163,28
164,30
162,30
161,32
160,32
156,33
157,34
159,34
164,33
165,33
166,35
163,38
162,39
162,41
162,42
163,43
165,46
167,45
168,45
168,46
168,47
169,47
168,48
164,49
163,49
163,48
162,47
161,42
157,43
158,42
159,41
158,39
159,37
158,37
157,37
156,39
155,38
153,35
153,36
153,39
153,41
152,41
152,42
153,44
153,45
151,46
146,46
147,41
145,44
145,45
143,46
146,49
147,55
143,52
142,52
141,53
141,54
142,54
142,56
141,58
139,59
137,58
137,60
139,61
145,66
146,65
147,63
146,61
147,60
149,62
149,63
150,65
151,65
152,64
152,63
153,63
151,61
155,60
152,58
149,57
151,57
152,55
154,55
153,53
158,54
157,53
158,52
158,51
156,51
156,50
156,49
155,49
155,48
155,47
157,48
158,49
158,50
159,48
163,50
163,51
164,52
162,52
162,53
160,53
159,55
157,59
156,59
156,60
166,69
165,70
166,71
164,74
166,75
168,72
168,71
170,72
170,70
171,70
169,69
169,68
172,67
172,66
174,65
174,63
175,64
174,68
177,69
171,73
170,76
168,76
165,77
166,79
166,80
165,80
164,79
163,78
162,77
160,78
160,81
158,81
160,82
160,84
161,84
163,85
163,84
162,83
163,82
165,82
167,82
168,83
164,83
165,84
165,87
163,88
162,88
161,87
160,88
160,89
162,95
164,94
165,94
167,93
167,95
168,95
171,98
172,98
172,97
172,95
175,96
176,97
178,98
178,100
177,102
175,98
174,100
174,99
173,98
172,100
169,100
172,103
171,103
170,103
169,105
168,107
169,107
172,106
173,107
174,109
176,108
177,109
176,110
177,110
182,108
183,104
181,101
180,100
181,100
182,101
185,101
186,106
187,106
189,111
190,115
185,115
182,121
181,122
180,125
180,121
174,111
174,112
172,115
172,116
170,115
169,115
167,115
170,113
168,112
165,112
165,111
164,111
164,109
163,107
163,106
161,107
160,102
159,104
157,104
158,106
157,106
158,108
159,109
157,111
154,110
154,109
153,108
153,106
153,105
151,105
151,106
150,110
148,110
149,109
149,108
148,108
145,108
149,107
149,105
148,105
148,104
147,104
146,104
147,102
150,102
151,102
150,101
