x,y
83,172
85,171
87,172
86,172
85,172
84,173
84,174
85,174
86,174
86,175
85,175
84,175
83,175
83,174
82,174
81,174
82,175
81,176
80,176
81,178
81,179
80,178
79,178
78,179
77,178
76,178
77,179
77,180
77,182
78,183
78,182
81,181
82,182
81,182
80,183
79,184
79,185
79,186
80,186
79,187
80,189
81,188
81,187
83,188
84,187
84,186
82,185
83,185
82,183
83,183
84,183
84,182
85,182
83,181
84,181
83,179
83,178
83,177
84,178
85,180
85,179
86,180
86,181
87,180
88,182
89,182
90,180
89,180
88,179
89,178
90,178
89,177
90,177
88,177
87,176
88,175
87,173
88,173
89,173
90,174
90,173
89,172
88,171
88,170
87,169
88,169
88,168
88,167
90,169
89,171
90,172
91,171
92,170
94,172
93,173
94,173
95,173
96,175
96,176
95,176
94,175
92,174
91,176
91,177
91,178
92,177
93,177
93,179
92,180
93,180
94,179
95,179
95,178
96,179
95,181
95,182
98,180
98,182
99,182
99,181
100,181
101,181
101,182
100,182
100,183
100,184
98,183
97,184
98,186
97,186
97,185
96,185
95,184
94,185
93,185
94,184
95,183
94,183
93,184
92,183
91,182
91,184
92,185
90,186
89,186
89,185
88,185
88,187
89,187
88,189
89,189
90,189
91,188
91,189
90,192
89,192
89,191
88,191
87,190
87,189
86,189
85,189
86,190
86,191
84,191
84,190
83,190
82,190
83,191
84,192
85,193
85,192
86,192
87,193
88,194
88,195
89,195
91,197
90,197
89,198
88,197
86,196
85,195
84,195
84,194
83,195
83,193
82,193
82,192
81,192
80,193
80,192
80,191
78,192
77,192
78,193
79,195
79,196
76,195
75,194
75,195
74,195
73,194
73,195
74,196
75,196
76,196
77,196
77,197
78,197
79,200
80,200
79,199
79,198
80,197
80,196
82,196
81,195
81,196
81,197
80,198
81,198
82,198
83,200
83,199
84,197
85,197
86,197
85,198
85,199
84,199
84,200
86,201
85,202
85,203
84,203
83,203
83,202
83,201
82,201
81,201
82,202
82,204
82,205
81,206
80,205
79,204
80,204
81,204
81,202
80,202
79,202
77,202
76,203
77,203
77,204
78,204
78,205
77,206
76,205
75,204
73,205
74,206
75,206
76,207
76,208
77,208
78,207
78,208
79,209
79,210
80,210
81,209
82,211
82,210
83,209
84,210
84,209
84,208
83,207
83,205
84,206
85,207
86,207
85,208
86,209
87,209
87,208
88,208
90,209
90,208
88,206
87,205
87,204
89,205
89,204
90,204
90,205
92,207
92,206
92,205
93,204
92,202
92,201
91,203
87,202
88,201
90,199
92,199
93,200
94,200
94,202
94,203
95,203
95,202
96,202
95,201
96,201
97,202
97,201
98,201
98,200
97,200
96,200
96,199
95,199
94,198
95,198
97,198
96,197
96,196
95,196
94,197
93,197
93,196
93,195
91,194
93,194
96,195
97,194
97,196
98,196
98,195
99,194
99,193
98,191
97,191
97,192
95,193
94,192
95,191
95,190
95,188
94,187
93,186
93,188
95,187
